[2026-04-23 22:00:50] === Swingbench Oracle Load Generation ===
[2026-04-23 22:00:50] Connect string: //localhost:1521/FREEPDB1
[2026-04-23 22:00:50] Schema: soe
[2026-04-23 22:00:50] Users: 4
[2026-04-23 22:00:50] Scale: 1
[2026-04-23 22:00:50] Runtime: 900 seconds (0:15)
[2026-04-23 22:00:50] Config file: /tmp/SOE_Server_Side_V2.xml
[2026-04-23 22:00:50] Dropping existing Swingbench schema if present
[2026-04-23 22:00:52] Creating Swingbench SOE schema
[33;1mSwingBench Wizard[m
[34mAuthor  :[m	[34;1mDominic Giles[m
[34mVersion :[m	[34;1m2.7.0.1561[m

[37;2mRunning in Lights Out Mode using config file : ../wizardconfigs/oewizard.xml[m

[33;1mData Generation Runtime Metrics[m
+-------------------------+-------------+
|[1;33m Description             [m|[1;36m Value       [m|
+-------------------------+-------------+
|[33m Connection Time         [m|[1;36m 0:00:00.002 [m|
|[33m Data Generation Time    [m|[1;36m 0:00:48.407 [m|
|[33m DDL Creation Time       [m|[1;36m 0:01:00.455 [m|
|[33m Total Run Time          [m|[1;36m 0:01:48.867 [m|
|[33m Rows Inserted per sec   [m|[1;36m 327,736     [m|
|[33m Actual Rows Generated   [m|[1;36m 15,886,269  [m|
|[33m Commits Completed       [m|[1;36m 1,071       [m|
|[33m Batch Updates Completed [m|[1;36m 79,719      [m|
+-------------------------+-------------+

[33;1mValidation Report [m
[32mThe schema appears to have been created[m [32;1msuccessfully.[m

[33;1mValid Objects[m
[32;1mValid Tables :[m [36m'ORDERS','ORDER_ITEMS','CUSTOMERS','WAREHOUSES','ORDERENTRY_METADATA','INVENTORIES','PRODUCT_INFORMATION','PRODUCT_DESCRIPTIONS','ADDRESSES','CARD_DETAILS'[m[32;1m
Valid Indexes :[m [36m'PRD_DESC_PK','PROD_NAME_IX','PRODUCT_INFORMATION_PK','PROD_SUPPLIER_IX','PROD_CATEGORY_IX','INVENTORY_PK','INV_PRODUCT_IX','INV_WAREHOUSE_IX','ORDER_PK','ORD_SALES_REP_IX','ORD_CUSTOMER_IX','ORD_ORDER_DATE_IX','ORD_WAREHOUSE_IX','ORDER_ITEMS_PK','ITEM_ORDER_IX','ITEM_PRODUCT_IX','WAREHOUSES_PK','WHS_LOCATION_IX','CUSTOMERS_PK','CUST_EMAIL_IX','CUST_ACCOUNT_MANAGER_IX','CUST_FUNC_LOWER_NAME_IX','ADDRESS_PK','ADDRESS_CUST_IX','CARD_DETAILS_PK','CARDDETAILS_CUST_IX'[m[32;1m
Valid Views :[m [36m'PRODUCTS','PRODUCT_PRICES'[m[32;1m
Valid Sequences :[m [36m'CUSTOMER_SEQ','ORDERS_SEQ','ADDRESS_SEQ','LOGON_SEQ','CARD_DETAILS_SEQ'[m[32;1m
Valid Code :[m [36m'ORDERENTRY'[m
[36;1mSchema Created[m
[2026-04-23 22:02:43] Running charbench workload
Swingbench 
Author  :  	 Dominic Giles 
Version :  	 2.7.0.1561  

Results will be written to /tmp/swingbench/results.xml 
Expected Benchmark Runtime is set to 15 minutes. 

Time      Users       TPM      TPS     Errors   NCR    UCD    BP     OP     PO     BO     SQ     WQ     WA     
22:12:26  [4/4]       88294    1176    0        1      0      3      5      1      11     0      0      0      
22:12:27  [4/4]       88132    1181    0        1      5      1      7      1      1      0      0      0      
22:12:28  [4/4]       87694    1507    0        1      0      1      3      1      1      0      0      0      
22:12:29  [4/4]       87926    1852    0        1      0      1      6      1      1      0      0      0      
22:12:30  [4/4]       88433    1685    0        3      0      1      5      1      1      0      0      0      
22:12:31  [4/4]       88370    1178    0        1      0      1      9      1      1      0      0      0      
22:12:32  [4/4]       87914    1154    0        1      0      3      6      1      1      0      0      0      
22:12:33  [4/4]       87462    1423    0        1      0      1      4      1      1      0      0      0      
22:12:34  [4/4]       88006    1897    0        3      0      1      6      1      1      0      0      0      
22:12:35  [4/4]       88125    1365    0        1      0      1      8      1      1      0      0      0      
22:12:36  [4/4]       88061    1227    0        1      0      3      6      1      1      0      0      0      
22:12:37  [4/4]       87365    1174    0        1      0      1      4      1      1      0      0      0      
22:12:38  [4/4]       87262    1727    0        1      0      1      5      8      1      0      0      0      
22:12:39  [4/4]       87648    1786    0        1      0      1      7      1      1      0      0      0      
22:12:40  [4/4]       87607    1180    0        1      0      3      6      1      1      0      0      0      
22:12:41  [4/4]       87513    1160    0        1      0      2      7      1      1      0      0      0      
22:12:42  [4/4]       86965    1380    0        1      0      1      4      1      1      0      0      0      
22:12:43  [4/4]       87101    1776    0        1      0      1      6      1      1      0      0      0      
22:12:44  [4/4]       87572    1702    0        1      0      3      5      1      1      0      0      0      
22:12:45  [4/4]       87548    1213    0        1      0      2      7      1      1      0      0      0      
22:12:46  [4/4]       87271    1253    0        1      0      2      7      1      1      0      0      0      
22:12:47  [4/4]       86956    1509    0        1      0      1      3      1      1      0      0      0      
22:12:48  [4/4]       87345    1824    0        1      0      1      6      1      1      0      0      0      
22:12:49  [4/4]       87476    1440    0        1      0      3      6      1      1      0      0      0      
22:12:50  [4/4]       87516    1204    0        2      0      2      7      1      1      0      0      0      
22:12:51  [4/4]       86925    1161    0        1      0      1      8      1      11     0      0      0      
22:12:52  [4/4]       86798    1698    0        1      0      1      4      1      1      0      0      0      
22:12:53  [4/4]       87387    1858    0        3      0      1      5      9      1      0      0      0      
22:12:54  [4/4]       87897    1212    0        1      0      1      9      1      1      0      0      0      
22:12:55  [4/4]       88245    1413    0        1      4      1      5      1      8      0      0      0      
22:12:56  [4/4]       87565    1176    0        1      0      1      4      1      1      0      0      0      
22:12:57  [4/4]       87639    1830    0        3      0      1      6      1      1      0      0      0      
22:12:58  [4/4]       88108    1764    0        1      0      1      7      1      1      0      0      0      
22:12:59  [4/4]       88101    1222    0        1      0      2      7      1      1      0      0      0      
22:13:00  [4/4]       87797    1204    0        5      0      1      7      1      1      0      0      0      
22:13:01  [4/4]       87342    1420    0        1      0      1      4      1      1      0      0      0      
22:13:02  [4/4]       87780    1935    0        1      0      1      7      1      1      0      0      0      
22:13:03  [4/4]       88099    1462    0        1      0      2      7      1      1      0      0      0      
22:13:04  [4/4]       87895    1226    0        1      0      3      6      1      1      0      0      0      
22:13:05  [4/4]       87584    1218    0        1      0      2      6      1      10     0      0      0      
22:13:06  [4/4]       87369    1649    0        1      0      1      4      1      1      0      0      0      
22:13:07  [4/4]       87861    1801    0        1      0      2      5      1      8      0      0      0      
22:13:08  [4/4]       88144    1412    0        4      0      1      6      1      1      0      0      0      
22:13:09  [4/4]       88205    1293    0        4      0      2      6      1      1      0      0      0      
22:13:10  [4/4]       87539    1201    0        1      0      1      4      1      1      0      0      0      
22:13:11  [4/4]       87554    1769    0        3      0      1      6      1      1      0      0      0      
22:13:12  [4/4]       88139    1831    0        4      0      1      6      1      1      0      0      0      
22:13:13  [4/4]       88112    1187    0        1      0      1      9      1      1      0      0      0      
22:13:14  [4/4]       87807    1179    0        1      0      2      7      1      1      0      0      0      
22:13:15  [4/4]       87366    1378    0        1      0      1      4      1      1      0      0      0      
22:13:16  [4/4]       87738    1861    0        3      0      1      5      1      1      0      0      0      
22:13:17  [4/4]       87862    1585    0        6      0      1      6      1      1      0      0      0      
22:13:18  [4/4]       87853    1204    0        1      0      1      7      11     1      0      0      0      
22:13:19  [4/4]       87472    1131    0        1      0      1      9      1      1      0      0      0      
22:13:20  [4/4]       87227    1639    0        1      0      1      4      1      1      0      0      0      
22:13:21  [4/4]       87722    1875    0        1      0      1      6      1      1      0      0      0      
22:13:22  [4/4]       88017    1467    0        1      0      1      6      12     12     0      0      0      
22:13:23  [4/4]       88024    1264    0        1      0      1      9      1      1      0      0      0      
