[2026-04-23 11:25:35] === Oracle Database Workload Execution ===
[2026-04-23 11:25:35] Duration: 120 seconds
[2026-04-23 11:25:35] Target PDB: FREEPDB1
[2026-04-23 11:25:35] Batch size: 100
[2026-04-23 11:25:35] Workers: 4
[2026-04-23 11:25:35] Verifying database connection...
[2026-04-23 11:25:35] Database status: OPEN
[2026-04-23 11:25:35] PDB FREEPDB1 status: READ WRITE
[2026-04-23 11:25:35] Creating benchmark schema...
[2026-04-23 11:25:36] Benchmark schema created with 10,000 initial orders
[2026-04-23 11:25:36] Creating workload procedure...
[2026-04-23 11:25:37] Workload procedure created
[2026-04-23 11:25:37] Starting workload execution (120 seconds)...
Workload started at: 2026-04-23 11:25:37
Iteration 13600: Inserts=408000, Updates=272000, Selects=680000, Elapsed=31s
Iteration 13700: Inserts=411000, Updates=274000, Selects=685000, Elapsed=31s
Iteration 13800: Inserts=414000, Updates=276000, Selects=690000, Elapsed=31s
Iteration 13900: Inserts=417000, Updates=278000, Selects=695000, Elapsed=32s
Iteration 14000: Inserts=420000, Updates=280000, Selects=700000, Elapsed=32s
Iteration 14100: Inserts=423000, Updates=282000, Selects=705000, Elapsed=32s
Iteration 14200: Inserts=426000, Updates=284000, Selects=710000, Elapsed=32s
Iteration 14300: Inserts=429000, Updates=286000, Selects=715000, Elapsed=33s
Iteration 14400: Inserts=432000, Updates=288000, Selects=720000, Elapsed=33s
Iteration 14500: Inserts=435000, Updates=290000, Selects=725000, Elapsed=33s
Iteration 14600: Inserts=438000, Updates=292000, Selects=730000, Elapsed=33s
Iteration 14700: Inserts=441000, Updates=294000, Selects=735000, Elapsed=34s
Iteration 14800: Inserts=444000, Updates=296000, Selects=740000, Elapsed=34s
Iteration 14900: Inserts=447000, Updates=298000, Selects=745000, Elapsed=34s
Iteration 15000: Inserts=450000, Updates=300000, Selects=750000, Elapsed=34s
Iteration 15100: Inserts=453000, Updates=302000, Selects=755000, Elapsed=35s
Iteration 15200: Inserts=456000, Updates=304000, Selects=760000, Elapsed=35s
Iteration 15300: Inserts=459000, Updates=306000, Selects=765000, Elapsed=35s
Iteration 15400: Inserts=462000, Updates=308000, Selects=770000, Elapsed=35s
Iteration 15500: Inserts=465000, Updates=310000, Selects=775000, Elapsed=35s
Iteration 15600: Inserts=468000, Updates=312000, Selects=780000, Elapsed=36s
Iteration 15700: Inserts=471000, Updates=314000, Selects=785000, Elapsed=36s
Iteration 15800: Inserts=474000, Updates=316000, Selects=790000, Elapsed=36s
Iteration 15900: Inserts=477000, Updates=318000, Selects=795000, Elapsed=37s
Iteration 16000: Inserts=480000, Updates=320000, Selects=800000, Elapsed=37s
Iteration 16100: Inserts=483000, Updates=322000, Selects=805000, Elapsed=37s
Iteration 16200: Inserts=486000, Updates=324000, Selects=810000, Elapsed=37s
Iteration 16300: Inserts=489000, Updates=326000, Selects=815000, Elapsed=38s
Iteration 16400: Inserts=492000, Updates=328000, Selects=820000, Elapsed=38s
Iteration 16500: Inserts=495000, Updates=330000, Selects=825000, Elapsed=38s
Iteration 16600: Inserts=498000, Updates=332000, Selects=830000, Elapsed=38s
Iteration 16700: Inserts=501000, Updates=334000, Selects=835000, Elapsed=39s
Iteration 16800: Inserts=504000, Updates=336000, Selects=840000, Elapsed=39s
Iteration 16900: Inserts=507000, Updates=338000, Selects=845000, Elapsed=39s
Iteration 17000: Inserts=510000, Updates=340000, Selects=850000, Elapsed=39s
Iteration 17100: Inserts=513000, Updates=342000, Selects=855000, Elapsed=40s
Iteration 17200: Inserts=516000, Updates=344000, Selects=860000, Elapsed=40s
Iteration 17300: Inserts=519000, Updates=346000, Selects=865000, Elapsed=40s
Iteration 17400: Inserts=522000, Updates=348000, Selects=870000, Elapsed=41s
Iteration 17500: Inserts=525000, Updates=350000, Selects=875000, Elapsed=41s
Iteration 17600: Inserts=528000, Updates=352000, Selects=880000, Elapsed=41s
Iteration 17700: Inserts=531000, Updates=354000, Selects=885000, Elapsed=41s
Iteration 17800: Inserts=534000, Updates=356000, Selects=890000, Elapsed=42s
Iteration 17900: Inserts=537000, Updates=358000, Selects=895000, Elapsed=42s
Iteration 18000: Inserts=540000, Updates=360000, Selects=900000, Elapsed=42s
Iteration 18100: Inserts=543000, Updates=362000, Selects=905000, Elapsed=42s
Iteration 18200: Inserts=546000, Updates=364000, Selects=910000, Elapsed=43s
Iteration 18300: Inserts=549000, Updates=366000, Selects=915000, Elapsed=43s
Iteration 18400: Inserts=552000, Updates=368000, Selects=920000, Elapsed=43s
Iteration 18500: Inserts=555000, Updates=370000, Selects=925000, Elapsed=44s
Iteration 18600: Inserts=558000, Updates=372000, Selects=930000, Elapsed=44s
Iteration 18700: Inserts=561000, Updates=374000, Selects=935000, Elapsed=44s
Iteration 18800: Inserts=564000, Updates=376000, Selects=940000, Elapsed=44s
Iteration 18900: Inserts=567000, Updates=378000, Selects=945000, Elapsed=45s
Iteration 19000: Inserts=570000, Updates=380000, Selects=950000, Elapsed=45s
Iteration 19100: Inserts=573000, Updates=382000, Selects=955000, Elapsed=45s
Iteration 19200: Inserts=576000, Updates=384000, Selects=960000, Elapsed=45s
Iteration 19300: Inserts=579000, Updates=386000, Selects=965000, Elapsed=46s
Iteration 19400: Inserts=582000, Updates=388000, Selects=970000, Elapsed=46s
Iteration 19500: Inserts=585000, Updates=390000, Selects=975000, Elapsed=46s
Iteration 19600: Inserts=588000, Updates=392000, Selects=980000, Elapsed=47s
Iteration 19700: Inserts=591000, Updates=394000, Selects=985000, Elapsed=47s
Iteration 19800: Inserts=594000, Updates=396000, Selects=990000, Elapsed=47s
Iteration 19900: Inserts=597000, Updates=398000, Selects=995000, Elapsed=47s
Iteration 20000: Inserts=600000, Updates=400000, Selects=1000000, Elapsed=48s
Iteration 20100: Inserts=603000, Updates=402000, Selects=1005000, Elapsed=48s
Iteration 20200: Inserts=606000, Updates=404000, Selects=1010000, Elapsed=48s
Iteration 20300: Inserts=609000, Updates=406000, Selects=1015000, Elapsed=49s
Iteration 20400: Inserts=612000, Updates=408000, Selects=1020000, Elapsed=49s
Iteration 20500: Inserts=615000, Updates=410000, Selects=1025000, Elapsed=49s
Iteration 20600: Inserts=618000, Updates=412000, Selects=1030000, Elapsed=50s
Iteration 20700: Inserts=621000, Updates=414000, Selects=1035000, Elapsed=50s
